Ερώτηση;Α;Β;Γ;Δ;Σωστή
"58. Το αρμόδιο διοικητικό όργανο εκδίδει πράξη με την οποία ο Α, δημόσιος υπάλληλος, τίθεται σε αυτοδίκαιη αργία λόγω άσκησης κατά αυτού ποινικής δίωξης. Επιβάλλεται πριν τη λήψη του εν λόγω μέτρου η ακρόαση του Α";"α. Δεν απαιτείται προηγούμενη ακρόαση, διότι η θέση σε αργία αποτελεί πράξη δέσμιας αρμοδιότητας";"β. Απαιτείται προηγούμενη ακρόαση, διότι η θέση σε αργία αποτελεί δυσμενές μέτρο";"γ. Απαιτείται προηγούμενη ακρόαση, διότι η θέση σε αργία αποτελεί πράξη διακριτικής ευχέρεια";δ. Δεν απαιτείται προηγούμενη ακρόαση μόνον στην περίπτωση που ο Α έχει εκθέσει εγγράφως τις απόψεις του με υπόμνημα προς το αρμόδιο για τη θέση του σε αργία όργανο;Α
59. Η μονιμότητα:;"α. Αναφέρεται στις/ους δημόσιες/ους υπαλλήλους και τις/τους καθηγήτριες/ητές των Ανώτατων Εκπαιδευτικών Ιδρυμάτων (ΑΕΙ); ενώ η ισοβιότητα αφορά στις/ους δικαστικές/ούς λειτουργούς";β. Δεν ταυτίζεται με την ισοβιότητα;"γ. Και η ισοβιότητα είναι ταυτόσημες έννοιες. Η μόνη διαφορά τους έγκειται στο ότι η πρώτη αφορά τις/τους δημόσιες/ους υπαλλήλους; ενώ η δεύτερη αναφέρεται στις/ους δικαστικές/ούς λειτουργούς και τις/τους καθηγήτριες/ητές των Ανώτατων Εκπαιδευτικών Ιδρυμάτων (ΑΕΙ)";δ. Είναι έννοια ταυτόσημη με την ισοβιότητα;Β
60. Η υποχρέωση κλήσης σε απολογία του/της πειθαρχικώς εγκαλουμένου/ης:;"α. Δεν είναι κατοχυρωμένη, αλλά νομολογιακώς προβλεπόμενη υποχρέωση";β. Είναι συνταγματικώς κατοχυρωμένη υποχρέωση;γ. Είναι συνταγματικώς και νομοθετικώς κατοχυρωμένη υποχρέωση;δ. Είναι εθιμική υποχρέωση;Γ
61. Ο παράνομος διορισμός δημόσιου/ας υπαλλήλου λόγω επιγενομένης διαπίστωσης έλλειψης ιθαγένειας:;α. Δεν επιτρέπεται να ανακληθεί;β. Ανακαλείται ελευθέρως;γ. Ανακαλείται κατ΄ αρχήν εντός διετίας;δ. Ανακαλείται μόνον εκ λόγων δημόσιου συμφέροντος;Β
62. Ο δόλιος διορισμός δημόσιου/ας υπαλλήλου:;α. Δεν επιτρέπεται να ανακληθεί;β. Ανακαλείται ελευθέρως και ανεξαρτήτως παρέλευσης χρόνου;γ. Ανακαλείται κατ΄ αρχήν εντός διετίας;δ. Ανακαλείται μόνον εκ λόγων δημόσιου συμφέροντος;Β
63. Όταν υπάλληλος φυλακιστεί, τίθεται σε:";α. Αργία;β. Διαθεσιμότητα;γ. Παύση;δ. Προσωρινή απόλυση;Α
64. Η ανάκριση:;α. Εντάσσεται στην πειθαρχική διαδικασία;β. Δεν εντάσσεται στην πειθαρχική διαδικασία;γ. Άλλοτε εντάσσεται και άλλοτε δεν εντάσσεται στην πειθαρχική διαδικασία;δ. Είναι πράξη της προδικασίας;Α
65. Η επιλογή σε θέση Προϊσταμένου/ης έχει την έννοια:;α. Της ανάληψης καθηκόντων ευθύνης;β. Της ανάθεσης πρόσθετων καθηκόντων;γ. Της βαθμολογικής εξέλιξης;δ. Της αλλαγής φορέα;Α
66. Ο/Η υπάλληλος επί θητεία που υπηρετεί στο Δημόσιο:;α. Χαίρει μονιμότητας;β. Δεν χαίρει μονιμότητας;γ. Χαίρει εγγυήσεων ανάλογων της μονιμότητας;δ. Χαίρει των εγγυήσεων της μονιμότητας κατά την διάρκεια της θητείας του;Δ
67. Το Σύνταγμά μας προβλέπει:;α. Την αρμοδιότητα των ΟΤΑ για τον χωροταξικό σχεδιασμό;β. Την επιβολή πειθαρχικών ποινών στους αιρετούς από διοικητικά δικαστήρια;γ. Την άμεση εκλογή των αιρετών;δ. Τη δημιουργία αναγκαστικών συνδέσμων ΟΤΑ;Δ
68. Γενική αρμοδιότητα έχει στους δήμους:;α. Ο/Η δήμαρχος;β. Το δημοτικό συμβούλιο;γ. Η δημοτική επιτροπή;δ. Ο/Η κάθε αντιδήμαρχος για τον τομέα ευθύνης του/της;Β
69. Η προσβολή αποφάσεων του Δημάρχου με προσφυγή:;α. Μπορεί να γίνει από οποιοδήποτε πρόσωπο χωρίς να απαιτείται έννομο συμφέρον;β. Γίνεται ενώπιον του/της Γραμματέα/ως της οικείας Αποκεντρωμένης Διοίκησης;γ. Γίνεται ενώπιον της Ειδικής Επιτροπής Εποπτείας;δ. Γίνεται απευθείας στα τακτικά διοικητικά δικαστήρια;Β
70. Οι αντιπεριφερειάρχες:;α. Εκλέγονται άμεσα στο αξίωμά τους;β. Δεν ασκούν αρμοδιότητες του περιφερειακού συμβουλίου;γ. Συμμετέχουν όλοι/ες στην περιφερειακή επιτροπή;δ. Δεν είναι μέλη του περιφερειακού συμβουλίου;Β
71. Η διοικητική διαίρεση της Ελλάδας διαμορφώνεται με κριτήριο:;α. Την τοπική ιστορία κάθε περιοχής;β. Με βάση της εντολές της Ευρωπαϊκής Ένωσης;"γ. Τις γεωοικονομικές, κοινωνικές και συγκοινωνιακές συνθήκες";δ. Την επιθυμία των κατοίκων της περιοχής;Γ
72. Η αρχή της διαφάνειας κατά τη διαχείριση των πόρων της τοπικής αυτοδιοίκησης:;α. Επιτρέπει τον έλεγχο σκοπιμότητας ειδικά ως προς την οικονομική διαχείριση των ΟΤΑ;β. Συνεπάγεται την υποχρεωτική διαχείριση των λογαριασμών τους από την Τράπεζα της Ελλάδος;γ. Συνεπάγεται υποχρεώσεις δημοσιότητας προς το κοινό και ανακοίνωσης σχετικών πληροφοριών σε κρατικές αρχές;δ. Καλύπτεται μέσω των δημοσιονομικών ελέγχων που ασκούν τα όργανα του Ελεγκτικού Συνεδρίου;Γ
73. Ως Γραμματέας Αποκεντρωμένης Διοίκησης μπορεί να επιλεγεί:;α. Τόσο δημόσιος/α υπάλληλος όσο και ιδιώτης;β. Μόνο ιδιώτης;γ. Μόνον δημόσιος/α υπάλληλος;δ. Καταρχήν δημόσιος/α υπάλληλος και κατ’ εξαίρεση ιδιώτης;Α
74. Στις τοπικές υποθέσεις περιλαμβάνονται, μεταξύ άλλων, τα ακόλουθα πεδία δημόσιας πολιτικής:";"α. Ανάπτυξη περιβάλλον΄, απασχόληση παιδεία, πολιτική προστασία";"β. Ανάπτυξη, απασχόληση, πολιτισμός, δημόσια τάξη, δικαιοσύνη";"γ. Περιβάλλον, πολιτισμός, αθλητισμός, πολιτική προστασία, δημόσια τάξη";"δ. Αθλητισμός, παιδεία, δικαιοσύνη, κοινωνική αλληλεγγύη, αγροτική ανάπτυξη";Α
75. Τα νομικά πρόσωπα δημοσίου δικαίου:;α. Έχουν διοικητική και περιουσιακή αυτοτέλεια;β. Δεν έχουν διοικητική αυτοτέλεια;γ. Ιδρύονται και από την ιδιωτική πρωτοβουλία;δ. Διέπονται από την αρχή του κλειστού αριθμού;Α
76. ΔΕΝ αποτελεί είδος αρμοδιότητας διοικητικού οργάνου:;α. Συλλογική;β. Γνωμοδοτική;γ. Αποφασιστική;δ. Παρεμπίπτουσα;Δ
77. ΔΕΝ αποτελεί είδος γνώμης στα πλαίσια γνωμοδοτικής διαδικασίας:;α. Πρόταση;β. Σύμφωνη;γ. Απλή;δ. Συντρέχουσα;Δ
78. Η επανεξέταση κατά νόμο και κατ’ ουσίαν πράξης από άλλο διοικητικό όργανο από αυτό που την εξέδωσε και το οποίο δύναται να την ακυρώσει εν όλω ή εν μέρει ή να την τροποποιήσει τελείται κατά την άσκηση:;α. Ειδικής διοικητικής προσφυγής;β. Αίτησης θεραπείας;γ. Αίτησης ακυρώσεως;δ. Ενδικοφανούς προσφυγής;Δ
79. Στην περίπτωση άσκησης ποιας διοικητικής προσφυγής διενεργείται μόνο έλεγχος νομιμότητας της διοικητικής πράξης:;α. Της ειδικής;β. Της ενδικοφανούς;γ. Και της ειδικής και της ενδικοφανούς;δ. Σε καμία από τις λοιπές απαντήσεις;Α
80. Η αρνητική σύμφωνη γνώμη, εφόσον δεν ακολουθήσει η πράξη του αποφασίζοντος οργάνου, είναι:";α. Εκτελεστή πράξη;β. Μη εκτελεστή πράξη;γ. Διαπιστωτική πράξη;δ. Διαδικαστική ενέργεια;Α
